# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-0.4275630928002715,0.0,1.2717895912797905,0.7862935872856994,0.0,0.0
 0.06908919544148999,0.011933292316881004,0.17272298860372498,2.5,-0.4275630928002715,-0.1773658272897457,1.2717895912797905,0.7862935872856994,0.0,0.0
 0.09743898971289369,0.023735891790673508,0.4163204628859592,8.592565856040437,-1.2923668730006976,-0.3547316545794914,1.3035168404934203,0.7671554129070323,-30.504763876637703,-1076.0135888325547
 0.11901523883829365,0.03541156768934021,0.5411355713779685,5.784838123002328,-2.1691248235215475,-0.5320974818692371,1.3351253004573485,0.7489933713767907,-40.6353275504552,-469.5238553716741
 0.1370607330779978,0.046964111379695396,0.6401899297907284,5.489146326334363,-3.0575788031361153,-0.7094633091589828,1.3665269130155535,0.7317821482149018,-49.23411727121162,-476.50619077183035
 0.15283629720884712,0.05839733436127762,0.7247425757171122,5.359722493919566,-3.9574374284505627,-0.8868291364487285,1.3976292689863439,0.7154973226378325,-57.04129613690088,-494.89062964298137
 0.16699109691918618,0.06971506612568257,0.7995684853200826,5.286257038897943,-4.8683754403043,-1.0641949637384742,1.4283360184865732,0.7001153699530545,-64.35541515916773,-516.7235970795415
 0.1799123696031961,0.08092115184059259,0.8672586663059564,5.23866206071484,-5.790033248762122,-1.24156079102822,1.4585473606740087,0.6856136639525304,-71.32871745663059,-539.6761192179086
 0.19185353774077005,0.0920194498591227,0.9294147683599167,5.205194444786397,-6.722016674422342,-1.4189266183179656,1.4881606133765803,0.6719704788658784,-78.0479275497052,-562.6928635174324
 0.20299145701879048,0.10301382905652867,0.9871124868989011,5.180295986957373,-7.663896903145796,-1.5962924456077117,1.517070860333217,0.6591649910013795,-84.56518719633387,-585.141576621931
 0.21345553728854896,0.1139081659978578,1.0411174857683485,5.160988589271775,-8.615210669452273,-1.7736582728974575,1.545171672039489,0.6471772801012389,-90.91231544312629,-606.563413426388
 0.2233439875543918,0.12470634194174082,1.091998812107353,5.145530894235384,-9.57546068176266,-1.9510241001872033,1.572355894795459,0.6359883301929463,-97.10824107871882,-626.5820698916591
 0.23273352976071027,0.13541223968719854,1.140193793287754,5.132836098012251,-10.544116300429186,-2.1283899274769493,1.5985164996947243,0.6255800301035206,-103.16324240117825,-644.8665109982529
 0.241685531442837,0.1460297402720164,1.1860476530088697,5.122190695368843,-11.520614476359798,-2.305755754766695,1.6235474822173737,0.615935173410661,-109.0815451789129,-661.1150207389862
 0.2502500505758211,0.1565627195330026,1.2298389550466473,5.113106919117768,-12.504360954989812,-2.483121582056441,1.6473448003856186,0.6070374579541059,-114.86301371449547,-675.0488201160845
 0.2584686012188383,0.1670150445400572,1.2717966294866492,5.105240116230324,-13.494731746654326,-2.660487409346187,1.669807338356441,0.5988714847691834,-120.50431209619346,-686.4103692651768
 0.26637610246996174,0.17739056991771893,1.3121117592219989,5.098339975554477,-14.49107486060974,-2.8378532366359326,1.6908378802732427,0.5914227565320443,-125.99974155095589,-694.9640955139504
 0.27400228763229384,0.18769313406932578,1.350945975255643,5.092220449282738,-15.492712295804907,-3.0152190639256786,1.7103440785521884,0.5846776754104959,-131.34187196798484,-700.4983885541178
 0.2813727458873339,0.1979265553204455,1.3884375837990681,5.086740504606701,-16.498942277471265,-3.192584891215424,1.7282393997645633,0.5786235403128925,-136.52203795853237,-702.828211123134
 0.2885097072886707,0.20809462799948622,1.4247061329400175,5.081791409738609,-17.509041724432272,-3.3699507185051703,1.744444030518189,0.573248543665198,-141.53074258910925,-701.7979149556172
 0.29543264442141853,0.21820111847458093,1.4598558792752279,5.0772881020311775,-18.522268927800653,-3.5473165457949163,1.7588857267942588,0.5685417675329015,-146.3579957378891,-697.2839787819688
 0.30215874051016595,0.22824976116672463,1.4939784623289611,5.073163184632389,-19.53786641815955,-3.724682373084662,1.7715005896752567,0.5644931793013489,-150.9936041588767,-689.197472028814
 0.30870325852502295,0.23824425455991802,1.5271549975879721,5.0693626610386655,-20.555063994588444,-3.902048200374408,1.7822337527084315,0.5610936267368499,-155.42742400887408,-677.4860791783236
 0.3150798357429295,0.24818825722947874,1.559457735669878,5.065842846095232,-21.57308188600643,-4.0794140276641535,1.7910399662859293,0.5583348327361422,-159.64958262548922,-662.1355740441005
 0.3213007213872827,0.25808538390997077,1.5909513928255261,5.062568090161803,-22.591134012429222,-4.2567798549538995,1.7978840683437731,0.5562093894748225,-163.65067365398335,-643.1706443801957
 0.3273769702493401,0.2679392016240934,1.6216942290915652,5.059509076069971,-23.608431312200025,-4.434145682243646,1.8027413308313083,0.5547107523955555,-167.42192804564496,-620.6550253744323
 0.333323123091421,0.27775322589361007,1.6504830148432905,4.841581862475383,-24.624185099467937,-4.611511509533392,1.8055976766539155,0.5538332336875692,-170.82537469932186,-572.3779297415203
 0.3391995458098026,0.2875309170527758,1.6638849224683592,2.280623479169919,-25.63761041606947,-4.788877336823137,1.8064497618669577,0.5535719958060192,-172.4561634123967,-277.51385344925393
 0.3450559391374143,0.29727567668393023,1.66395238263966,0.011519064298980891,-26.647929341522925,-4.966243164112883,1.8053049238289187,0.5539230446893557,-172.51555162628952,-10.140748848417111
 0.35089109543620006,0.3069908441938127,1.6649369806776273,0.16873550382397218,-27.654374226229958,-5.143608991402629,1.8021809968216451,0.554883223030104,-172.4795075183265,6.177059553750464
